"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","4/214","93/8545",0.043010752688172,1.7174153351422,1.11486254492597,0.204031901535528,0.454376535418663,0.38297945967782,"6591/5797/1956/7048",4
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","4/214","93/8545",0.043010752688172,1.7174153351422,1.11486254492597,0.204031901535528,0.454376535418663,0.38297945967782,"3112/864/10683/6776",4
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","4/214","93/8545",0.043010752688172,1.7174153351422,1.11486254492597,0.204031901535528,0.454376535418663,0.38297945967782,"815/4313/4323/1956",4
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/214","226/8545",0.0353982300884956,1.41344801918783,1.00955157877867,0.206083152602025,0.454376535418663,0.38297945967782,"5743/3569/5156/3690/3553/10000/2770/1956",8
"Organismal Systems","Immune system","hsa04611","Platelet activation","5/214","126/8545",0.0396825396825397,1.58452010087524,1.05935960267458,0.208453107419354,0.454376535418663,0.38297945967782,"3690/10000/1278/4067/2770",5
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","6/214","159/8545",0.0377358490566038,1.50678892611532,1.03380157366537,0.2084851925859,0.454376535418663,0.38297945967782,"8685/3690/3112/1520/929/718",6
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","6/214","159/8545",0.0377358490566038,1.50678892611532,1.03380157366537,0.2084851925859,0.454376535418663,0.38297945967782,"3553/815/834/6776/7098/330",6
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","6/214","159/8545",0.0377358490566038,1.50678892611532,1.03380157366537,0.2084851925859,0.454376535418663,0.38297945967782,"9071/10000/5010/7098/3434/1956",6
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","3/214","63/8545",0.0476190476190476,1.90142412105029,1.15090441229097,0.209079057964385,0.454376535418663,0.38297945967782,"1583/1645/8644",3
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","3/214","63/8545",0.0476190476190476,1.90142412105029,1.15090441229097,0.209079057964385,0.454376535418663,0.38297945967782,"650/2736/81029",3
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","3/214","65/8545",0.0461538461538462,1.84291876347951,1.09328505864556,0.222210949203591,0.479142359220243,0.403853781036132,"6696/7223/10000",3
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","4/214","97/8545",0.0412371134020619,1.6465940842085,1.02643057616809,0.225141294425232,0.479349044447439,0.404027989408406,"2903/815/2906/2770",4
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","8/214","232/8545",0.0344827586206897,1.37689332903642,0.932765537550388,0.22604163974777,0.479349044447439,0.404027989408406,"5156/3690/2247/5159/10000/4478/3672/1956",8
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","2/214","36/8545",0.0555555555555556,2.21832814122534,1.1739921787174,0.227517118922516,0.479349044447439,0.404027989408406,"231/57016",2
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","3/214","67/8545",0.0447761194029851,1.78790626307714,1.03765787702948,0.235502934108663,0.482289849415931,0.406506699927234,"2903/815/2906",3
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","5/214","132/8545",0.0378787878787879,1.51249645992637,0.951023678886024,0.235800517487006,0.482289849415931,0.406506699927234,"2903/773/815/10000/2770",5
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","4/214","99/8545",0.0404040404040404,1.61332955725479,0.983727681895637,0.235902643736053,0.482289849415931,0.406506699927234,"4313/10683/10000/1956",4
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","4/214","99/8545",0.0404040404040404,1.61332955725479,0.983727681895637,0.235902643736053,0.482289849415931,0.406506699927234,"4803/3553/815/3269",4
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","2/214","38/8545",0.0526315789473684,2.10157402852927,1.09070225073284,0.246158871008568,0.497449288004496,0.41928410621279,"4837/4907",2
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","3/214","69/8545",0.0434782608695652,1.73608289313287,0.98388589666447,0.248931334823194,0.497449288004496,0.41928410621279,"1437/10000/4067",3
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","3/214","69/8545",0.0434782608695652,1.73608289313287,0.98388589666447,0.248931334823194,0.497449288004496,0.41928410621279,"2903/815/2906",3
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","7/214","204/8545",0.0343137254901961,1.3701438519333,0.85756194887193,0.250526996495018,0.497449288004496,0.41928410621279,"3569/8900/3112/864/10000/7431/4067",7
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","5/214","137/8545",0.0364963503649635,1.45729585919913,0.864769054695632,0.259315584075557,0.511222151463242,0.430892812636828,"4803/10000/1520/843/330",5
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","6/214","173/8545",0.0346820809248555,1.38485225001351,0.819580111546312,0.266129729493667,0.520934789647177,0.439079284942892,"3569/3553/3112/834/10000/7098",6
"Human Diseases","Infectious disease: viral","hsa05162","Measles","5/214","139/8545",0.0359712230215827,1.43632757345525,0.831216786784321,0.268876994023165,0.522605988383053,0.440487884945288,"3569/3553/10000/4478/6776",5
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","3/214","73/8545",0.0410958904109589,1.64095506337217,0.8814242169465,0.276106436030366,0.532904729680986,0.449168364834088,"10000/6776/1956",3
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/214","42/8545",0.0476190476190476,1.90142412105029,0.938548392170732,0.28355310630869,0.543449304986921,0.458056050351295,"51703/2182",2
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","8/214","250/8545",0.032,1.27775700934579,0.714357774885506,0.289647272352054,0.543449304986921,0.458056050351295,"1437/3553/80201/834/10000/929/718/1956",8
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/214","75/8545",0.04,1.59719626168224,0.832520518978339,0.289809663719383,0.543449304986921,0.458056050351295,"2950/10000/330",3
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","2/214","43/8545",0.0465116279069767,1.85720495544447,0.903123804949007,0.292889110166177,0.543449304986921,0.458056050351295,"51703/2182",2
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","5/214","144/8545",0.0347222222222222,1.38645508826584,0.749555374984601,0.293101651259747,0.543449304986921,0.458056050351295,"3198/2247/3624/81029/10000",5
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","7/214","215/8545",0.0325581395348837,1.30004346881113,0.714117780060713,0.293383863924099,0.543449304986921,0.458056050351295,"2247/773/10683/10000/6776/2770/1956",7
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","3/214","76/8545",0.0394736842105263,1.57618052139695,0.808608386355049,0.296681097647572,0.545893219671532,0.46011594793062,"3759/815/2770",3
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","2/214","44/8545",0.0454545454545455,1.81499575191164,0.868631579849169,0.30220906092028,0.547602799449296,0.461556898086554,"3553/3112",2
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","3/214","77/8545",0.038961038961039,1.55571064449569,0.785041458793315,0.303562421433849,0.547602799449296,0.461556898086554,"10000/1956/7048",3
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","3/214","77/8545",0.038961038961039,1.55571064449569,0.785041458793315,0.303562421433849,0.547602799449296,0.461556898086554,"10000/6776/7048",3
NA,NA,"hsa04081","Hormone signaling","7/214","219/8545",0.0319634703196347,1.2762983826228,0.663851798388658,0.30937776031911,0.554469232779704,0.467344395287241,"2769/3690/146/2984/6776/1734/2770",7
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","5/214","148/8545",0.0337837837837838,1.34898332912352,0.686376493431329,0.312749043671166,0.555462178138772,0.468181317195532,"2247/10683/81029/10000/1956",5
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","6/214","184/8545",0.0326086956521739,1.30206216984965,0.663842536461944,0.313956883295827,0.555462178138772,0.468181317195532,"7223/815/81029/10371/64221/2770",6
"Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","1/214","15/8545",0.0666666666666667,2.66199376947041,1.03249853611267,0.316656964333962,0.556670841759067,0.469200061131784,"256435",1
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","5/214","150/8545",0.0333333333333333,1.3309968847352,0.655462914739505,0.322641424340169,0.560252545623406,0.472218964846578,"2247/81029/10000/1956/7048",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","11/214","370/8545",0.0297297297297297,1.18710532962869,0.589701291670323,0.322754183891745,0.560252545623406,0.472218964846578,"84109/5737/1901/2903/146/5026/3269/2564/2906/136/718",11
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","4/214","115/8545",0.0347826086956522,1.3888663145063,0.672859511921349,0.325334471490974,0.56120196332193,0.473019198680955,"4208/4323/2770/1956",4
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","2/214","47/8545",0.0425531914893617,1.69914495923643,0.770276654792655,0.330023561290582,0.564162655562455,0.475514671545776,"773/80201",2
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","3/214","81/8545",0.037037037037037,1.47888542748356,0.69402520490451,0.33113895000405,0.564162655562455,0.475514671545776,"978/2950/1806",3
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","3/214","83/8545",0.036144578313253,1.44324963405022,0.650339092564448,0.344926134696103,0.584046706601991,0.492274302666056,"51703/2182/8540",3
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","5/214","155/8545",0.032258064516129,1.28806150135665,0.580041447716783,0.347514399930211,0.584841307199623,0.492944046114099,"1583/815/81029/2770/1956",5
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","1/214","17/8545",0.0588235294117647,2.34881803188565,0.892160862050621,0.350516142739559,0.586317911491626,0.494188628679059,"8828",1
"Organismal Systems","Sensory system","hsa04742","Taste transduction","3/214","86/8545",0.0348837209302326,1.39290371658335,0.586900918743162,0.365557539938708,0.606231795903967,0.510973405395792,"6328/5137/773",3
"Organismal Systems","Digestive system","hsa04980","Cobalamin transport and metabolism","1/214","18/8545",0.0555555555555556,2.21832814122534,0.829261181460057,0.366814166362183,0.606231795903967,0.510973405395792,"6948",1
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","3/214","87/8545",0.0344827586206897,1.37689332903642,0.566282545698338,0.372413524739084,0.609861042985267,0.514032381768666,"10000/1956/7048",3
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","2/214","52/8545",0.0384615384615385,1.53576563623293,0.62106192312603,0.375639048215563,0.609861042985267,0.514032381768666,"586/3945",2
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","2/214","52/8545",0.0384615384615385,1.53576563623293,0.62106192312603,0.375639048215563,0.609861042985267,0.514032381768666,"80201/10000",2
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","3/214","89/8545",0.0337078651685393,1.345951905912,0.525795885137205,0.386082450167631,0.623150621323195,0.52523374261032,"773/2564/2770",3
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","5/214","166/8545",0.0301204819277108,1.20270802837518,0.422685974740208,0.40249260806624,0.645860231548153,0.544374947262173,"5139/146/4208/10000/2770",5
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","1/214","21/8545",0.0476190476190476,1.90142412105029,0.662835928884934,0.413305782006374,0.659378010599764,0.555768651192021,"55790",1
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","2/214","57/8545",0.0350877192982456,1.40104935235284,0.486879513450329,0.419944777563473,0.66611930234206,0.561450670547656,"51703/2182",2
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","5/214","170/8545",0.0294117647058824,1.17440901594283,0.368120432684752,0.422409929964112,0.666200803829114,0.561519365546278,"2950/81029/10000/1956/7048",5
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","2/214","59/8545",0.0338983050847458,1.353556153968,0.436738856158769,0.437221747334448,0.685643194683567,0.57790673541216,"10000/1956",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","7/214","252/8545",0.0277777777777778,1.10916407061267,0.281911698813838,0.444839753517916,0.69117187935682,0.582566687024627,"5156/857/858/64411/274/1956/7048",7
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","2/214","60/8545",0.0333333333333333,1.3309968847352,0.412346722975877,0.445755777266355,0.69117187935682,0.582566687024627,"5743/10000",2
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","3/214","99/8545",0.0303030303030303,1.20999716794109,0.336817335443565,0.453131341513913,0.695944725587441,0.58658956657065,"10000/4067/274",3
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","4/214","138/8545",0.0289855072463768,1.15738859542192,0.298731636767415,0.455879396195383,0.695944725587441,0.58658956657065,"3569/3553/834/10000",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/214","24/8545",0.0416666666666667,1.663746105919,0.521856700006086,0.456398533809155,0.695944725587441,0.58658956657065,"9957",1
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","4/214","139/8545",0.0287769784172662,1.1490620587642,0.283967580907749,0.461420208111597,0.697700111333994,0.588069125113703,"4313/10000/2770/1956",4
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","2/214","62/8545",0.032258064516129,1.28806150135665,0.364833971121931,0.462605508601888,0.697700111333994,0.588069125113703,"10683/7091",2
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","3/214","101/8545",0.0297029702970297,1.18603682798186,0.301421647893191,0.466199163801185,0.699298745701778,0.589416562929416,"815/81029/2770",3
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","4/214","141/8545",0.0283687943262411,1.13276330615762,0.254761344788554,0.47244326208344,0.704834272081241,0.594082281197384,"2903/3112/716/718",4
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","1/214","26/8545",0.0384615384615385,1.53576563623293,0.438486431229725,0.483361702414432,0.717246397131092,0.604544064706222,"151056",1
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","4/214","144/8545",0.0277777777777778,1.10916407061267,0.211730983411554,0.488819493631236,0.721466204503856,0.608100805474265,"2903/773/10000/2906",4
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","2/214","67/8545",0.0298507462686567,1.19193750871809,0.252778124952211,0.503383728593302,0.736790191742082,0.62101690455759,"80201/3945",2
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","3/214","107/8545",0.0280373831775701,1.11953008996419,0.199406042315051,0.504541109562513,0.736790191742082,0.62101690455759,"815/10000/3945",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","2/214","68/8545",0.0294117647058824,1.17440901594283,0.23141485605749,0.51129834055585,0.742728115754814,0.626021790929878,"339761/56603",2
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","4/214","149/8545",0.0268456375838926,1.07194379978674,0.141983942231489,0.51564189370361,0.74511603488061,0.628034491642314,"5743/773/2564/2770",4
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","2/214","70/8545",0.0285714285714286,1.14085447263017,0.189643843163885,0.526878447279797,0.746478678511786,0.629183020408484,"2113/10000",2
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","3/214","111/8545",0.027027027027027,1.07918666329881,0.134581595834229,0.529305897922856,0.746478678511786,0.629183020408484,"8900/10000/2770",3
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/214","30/8545",0.0333333333333333,1.3309968847352,0.291059076345145,0.533359115230572,0.746478678511786,0.629183020408484,"151056",1
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","2/214","71/8545",0.028169014084507,1.12478609977623,0.169215481765911,0.534542366977235,0.746478678511786,0.629183020408484,"10000/6776",2
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","2/214","71/8545",0.028169014084507,1.12478609977623,0.169215481765911,0.534542366977235,0.746478678511786,0.629183020408484,"5743/2950",2
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","4/214","154/8545",0.025974025974026,1.03714042966379,0.0745399955993862,0.541803983059191,0.746478678511786,0.629183020408484,"250/3620/26289/586",4
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","2/214","72/8545",0.0277777777777778,1.10916407061267,0.149078943384086,0.542121298536553,0.746478678511786,0.629183020408484,"338376/843",2
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","1/214","31/8545",0.032258064516129,1.28806150135665,0.257506492373623,0.54508678984486,0.746478678511786,0.629183020408484,"1806",1
NA,NA,"hsa04981","Folate transport and metabolism","1/214","31/8545",0.032258064516129,1.28806150135665,0.257506492373623,0.54508678984486,0.746478678511786,0.629183020408484,"10257",1
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","3/214","115/8545",0.0260869565217391,1.04164973587972,0.072066980116968,0.553372593273021,0.746478678511786,0.629183020408484,"5743/773/2770",3
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","12/214","483/8545",0.0248447204968944,0.992047367504499,-0.0288371290649084,0.554535710714497,0.746478678511786,0.629183020408484,"5743/2882/6622/3569/2903/3553/815/7133/81029/7345/2906/7318",12
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","1/214","32/8545",0.03125,1.24780957943925,0.225081967300306,0.556521065975139,0.746478678511786,0.629183020408484,"3945",1
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","1/214","32/8545",0.03125,1.24780957943925,0.225081967300306,0.556521065975139,0.746478678511786,0.629183020408484,"330",1
"Human Diseases","Immune disease","hsa05310","Asthma","1/214","32/8545",0.03125,1.24780957943925,0.225081967300306,0.556521065975139,0.746478678511786,0.629183020408484,"3112",1
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","4/214","157/8545",0.0254777070063694,1.01732245967022,0.0351090528485427,0.557154375990681,0.746478678511786,0.629183020408484,"3569/3553/10000/5468",4
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","2/214","75/8545",0.0266666666666667,1.06479750778816,0.0903308648656727,0.564342896605035,0.749649344695807,0.631855473599441,"5054/3486",2
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","1/214","33/8545",0.0303030303030303,1.20999716794109,0.193706208045942,0.567669250150086,0.749649344695807,0.631855473599441,"586",1
"Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","1/214","33/8545",0.0303030303030303,1.20999716794109,0.193706208045942,0.567669250150086,0.749649344695807,0.631855473599441,"8676",1
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","5/214","203/8545",0.0246305418719212,0.983495235026012,-0.0381426804823,0.578703802504803,0.75164544274139,0.6335379208461,"3569/9071/3553/834/5010",5
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","3/214","120/8545",0.025,0.998247663551402,-0.00309821892126914,0.582412515845858,0.75164544274139,0.6335379208461,"4803/815/10000",3
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","2/214","78/8545",0.0256410256410256,1.02384375748862,0.0339036266402332,0.585783866376598,0.75164544274139,0.6335379208461,"857/858",2
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","5/214","205/8545",0.024390243902439,0.973900159562343,-0.0606206650776001,0.587480689514048,0.75164544274139,0.6335379208461,"815/4313/10000/1278/7048",5
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","2/214","79/8545",0.0253164556962025,1.01088370992547,0.0155754395365219,0.592756301986305,0.75164544274139,0.6335379208461,"2950/1645",2
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","2/214","79/8545",0.0253164556962025,1.01088370992547,0.0155754395365219,0.592756301986305,0.75164544274139,0.6335379208461,"773/6507",2
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","3/214","122/8545",0.0245901639344262,0.981882947755477,-0.0323015223614499,0.593690965643562,0.75164544274139,0.6335379208461,"1901/10000/2770",3
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","3/214","122/8545",0.0245901639344262,0.981882947755477,-0.0323015223614499,0.593690965643562,0.75164544274139,0.6335379208461,"8900/10000/5468",3
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","3/214","122/8545",0.0245901639344262,0.981882947755477,-0.0323015223614499,0.593690965643562,0.75164544274139,0.6335379208461,"3690/10000/1734",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","1/214","36/8545",0.0277777777777778,1.10916407061267,0.10519150035173,0.599467626161325,0.754409429154285,0.635867596655595,"256435",1
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","6/214","251/8545",0.0239043824701195,0.954499757977436,-0.11726205240451,0.604492400227143,0.754409429154285,0.635867596655595,"3569/3553/834/10000/929/330",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","2/214","81/8545",0.0246913580246914,0.985923618322372,-0.0204002108175763,0.606438817801981,0.754409429154285,0.635867596655595,"3112/1520",2
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","1/214","37/8545",0.027027027027027,1.07918666329881,0.0773620739789605,0.609540951816687,0.754409429154285,0.635867596655595,"80201",1
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","1/214","37/8545",0.027027027027027,1.07918666329881,0.0773620739789605,0.609540951816687,0.754409429154285,0.635867596655595,"5468",1
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","1/214","38/8545",0.0263157894736842,1.05078701426463,0.0502857813744879,0.619362089135825,0.759750829339945,0.640369692159146,"80201",1
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","1/214","38/8545",0.0263157894736842,1.05078701426463,0.0502857813744879,0.619362089135825,0.759750829339945,0.640369692159146,"3575",1
"Human Diseases","Immune disease","hsa05330","Allograft rejection","1/214","39/8545",0.0256410256410256,1.02384375748862,0.0239184619636497,0.628937322816904,0.768082748218873,0.64739240029127,"3112",1
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","1/214","40/8545",0.025,0.998247663551402,-0.00178032491776104,0.638272781659742,0.776049725718453,0.654107510998391,"80201",1
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","9/214","391/8545",0.0230179028132992,0.919102708129168,-0.262437533714208,0.650886672375288,0.787915445506928,0.66410874697571,"5743/6622/3569/2903/3553/4311/81029/10000/2906",9
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","1/214","42/8545",0.0238095238095238,0.950712060525145,-0.0513178150742574,0.656248133539706,0.788565863890171,0.664656963843356,"3620",1
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","3/214","134/8545",0.0223880597014925,0.893953131538569,-0.198296646830614,0.657138219908476,0.788565863890171,0.664656963843356,"146/136/800",3
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","2/214","90/8545",0.0222222222222222,0.887331256490135,-0.172209394247219,0.663703933908781,0.792996908046855,0.668391749345366,"10000/5468",2
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","2/214","91/8545",0.021978021978022,0.877580363561672,-0.188160994190567,0.669637008162104,0.796637130399744,0.671459976423888,"10000/4067",2
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","5/214","227/8545",0.0220264317180617,0.879513359957182,-0.294870484541453,0.677068017503081,0.802020484252577,0.675997433332645,"115019/10000/1645/8644/1956",5
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","1/214","45/8545",0.0222222222222222,0.887331256490135,-0.121447669212961,0.681557525563103,0.803888363484686,0.677571809039343,"10257",1
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","1/214","46/8545",0.0217391304347826,0.868041446566436,-0.143820729253547,0.689574783154809,0.809883575109477,0.682624981308904,"5698",1
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","1/214","47/8545",0.0212765957446809,0.849572479618214,-0.165732164206668,0.697391114064901,0.812835377497065,0.685112961200806,"3945",1
"Human Diseases","Substance dependence","hsa05034","Alcoholism","4/214","188/8545",0.0212765957446809,0.849572479618214,-0.334248879126006,0.697978204589871,0.812835377497065,0.685112961200806,"2903/2906/136/2770",4
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","6/214","278/8545",0.0215827338129496,0.861796544073153,-0.375453598902242,0.701830187882286,0.813887108636601,0.685999431764641,"3569/2903/3553/857/858/2906",6
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","1/214","48/8545",0.0208333333333333,0.831873052959501,-0.187203548078507,0.705011530820621,0.814155575340968,0.686225713769466,"586",1
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","2/214","98/8545",0.0204081632653061,0.814896051878695,-0.295370019755596,0.70883150249171,0.815156227865467,0.687069131801175,"1583/815",2
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","4/214","193/8545",0.0207253886010363,0.827562829887173,-0.388332052253341,0.717417069032948,0.821606269929849,0.692505666111734,"3690/834/10000/718",4
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","2/214","103/8545",0.0194174757281553,0.775337991107885,-0.367633023241418,0.73440028158939,0.837580486440792,0.705969822667487,"151056/56895",2
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","1/214","54/8545",0.0185185185185185,0.739442713741779,-0.30782906350297,0.746885233463707,0.844837395229439,0.712086439152197,"7368",1
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","1/214","54/8545",0.0185185185185185,0.739442713741779,-0.30782906350297,0.746885233463707,0.844837395229439,0.712086439152197,"3112",1
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","4/214","205/8545",0.0195121951219512,0.779120127649875,-0.513025541137069,0.760295518369644,0.852077369498928,0.718188782071941,"8900/6776/4067/718",4
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","3/214","158/8545",0.0189873417721519,0.758162782444103,-0.491741994852581,0.761938689292421,0.852077369498928,0.718188782071941,"81029/10000/79899",3
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","2/214","109/8545",0.018348623853211,0.732658835634056,-0.450194036633965,0.76254750096462,0.852077369498928,0.718188782071941,"3569/10000",2
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","4/214","213/8545",0.0187793427230047,0.749857399850818,-0.592504659806173,0.78598466833386,0.873795797407112,0.736494550827505,"7133/27350/10000/2770",4
